aligned_peak_frame,aligned_peak_speed_mps,applied_shift_frames,class,edge_exclude_frames,edge_hold_end_frames,edge_hold_start_frames,fps,frames,output,source,source_peak_frame,source_peak_speed_mps,target_frame
43,1.183245062828064,-1,forehand,10,1,0,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/forehand/forehand_manual_011_forehand_1.100_3.100_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/forehand/forehand_manual_011_forehand_1.100_3.100_50fps__unitree_g1.npz,44,1.183245062828064,43
43,1.258748173713684,7,forehand,10,0,7,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/forehand/forehand_manual_012_forehand_3.200_5.300_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/forehand/forehand_manual_012_forehand_3.200_5.300_50fps__unitree_g1.npz,36,1.258748173713684,43
43,1.2251667976379395,-25,forehand,10,25,0,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/forehand/forehand_manual_013_forehand_5.500_7.500_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/forehand/forehand_manual_013_forehand_5.500_7.500_50fps__unitree_g1.npz,68,1.2251667976379395,43
43,1.3114557266235352,3,forehand,10,0,3,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/forehand/forehand_manual_014_forehand_0.900_2.900_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/forehand/forehand_manual_014_forehand_0.900_2.900_50fps__unitree_g1.npz,40,1.3114557266235352,43
43,1.6665329933166504,12,forehand,10,0,12,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/forehand/forehand_manual_015_forehand_2.950_4.950_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/forehand/forehand_manual_015_forehand_2.950_4.950_50fps__unitree_g1.npz,31,1.6665329933166504,43
43,1.266608715057373,5,forehand,10,0,5,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/forehand/forehand_manual_016_forehand_5.000_6.950_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/forehand/forehand_manual_016_forehand_5.000_6.950_50fps__unitree_g1.npz,38,1.266608715057373,43
43,1.7935712337493896,-33,forehand,10,33,0,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/forehand/forehand_manual_017_forehand_0.600_2.500_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/forehand/forehand_manual_017_forehand_0.600_2.500_50fps__unitree_g1.npz,76,1.7935712337493896,43
43,1.953713059425354,4,forehand,10,0,4,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/forehand/forehand_manual_018_forehand_2.550_4.600_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/forehand/forehand_manual_018_forehand_2.550_4.600_50fps__unitree_g1.npz,39,1.953713059425354,43
43,2.092866897583008,5,forehand,10,0,5,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/forehand/forehand_manual_019_forehand_5.000_7.050_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/forehand/forehand_manual_019_forehand_5.000_7.050_50fps__unitree_g1.npz,38,2.092866897583008,43
43,1.0208823680877686,8,backhand,10,0,8,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/backhand/backhand_manual_001_backhand_0.000_1.937_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/backhand/backhand_manual_001_backhand_0.000_1.937_50fps__unitree_g1.npz,35,1.0208823680877686,43
43,0.6228407621383667,7,backhand,10,0,7,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/backhand/backhand_manual_002_backhand_1.950_3.940_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/backhand/backhand_manual_002_backhand_1.950_3.940_50fps__unitree_g1.npz,36,0.6228407621383667,43
43,0.7107002139091492,10,backhand,10,0,10,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/backhand/backhand_manual_003_backhand_3.943_5.950_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/backhand/backhand_manual_003_backhand_3.943_5.950_50fps__unitree_g1.npz,33,0.7107002139091492,43
43,0.6678206920623779,-25,backhand,10,25,0,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/backhand/backhand_manual_004_backhand_0.680_2.580_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/backhand/backhand_manual_004_backhand_0.680_2.580_50fps__unitree_g1.npz,68,0.6678206920623779,43
43,0.7989516258239746,6,backhand,10,0,6,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/backhand/backhand_manual_005_backhand_2.580_4.500_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/backhand/backhand_manual_005_backhand_2.580_4.500_50fps__unitree_g1.npz,37,0.7989516258239746,43
43,0.6821555495262146,-1,backhand,10,1,0,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/backhand/backhand_manual_006_backhand_4.550_6.650_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/backhand/backhand_manual_006_backhand_4.550_6.650_50fps__unitree_g1.npz,44,0.6821555495262146,43
43,0.7541078329086304,7,backhand,10,0,7,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/backhand/backhand_manual_007_backhand_0.500_2.450_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/backhand/backhand_manual_007_backhand_0.500_2.450_50fps__unitree_g1.npz,36,0.7541078329086304,43
43,0.6604495048522949,-23,backhand,10,23,0,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_peak43_aligned/backhand/backhand_manual_008_backhand_2.455_4.500_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v1_pre_align/backhand/backhand_manual_008_backhand_2.455_4.500_50fps__unitree_g1.npz,66,0.6604495048522949,43
