clip_id,stroke,source_name,source_path,start,end,duration,output_name,output_path,frames,fps,note,created_at
1,backhand,backhand_01.mp4,data/hitter_captures/20260902_mqy_capture/raw_h264/backhand_01.mp4,0.000,1.937,1.937,backhand_manual_001_backhand_0.000_1.937_50fps.mp4,data/hitter_captures/20260902_mqy_capture/manual_clips_review/backhand/backhand_manual_001_backhand_0.000_1.937_50fps.mp4,97,50.000,,2026-09-02 17:45:37
2,backhand,backhand_01.mp4,data/hitter_captures/20260902_mqy_capture/raw_h264/backhand_01.mp4,1.950,3.940,1.990,backhand_manual_002_backhand_1.950_3.940_50fps.mp4,data/hitter_captures/20260902_mqy_capture/manual_clips_review/backhand/backhand_manual_002_backhand_1.950_3.940_50fps.mp4,100,50.000,,2026-09-02 17:46:50
3,backhand,backhand_01.mp4,data/hitter_captures/20260902_mqy_capture/raw_h264/backhand_01.mp4,3.943,5.950,2.007,backhand_manual_003_backhand_3.943_5.950_50fps.mp4,data/hitter_captures/20260902_mqy_capture/manual_clips_review/backhand/backhand_manual_003_backhand_3.943_5.950_50fps.mp4,101,50.000,,2026-09-02 17:47:26
4,backhand,backhand_02.mp4,data/hitter_captures/20260902_mqy_capture/raw_h264/backhand_02.mp4,0.680,2.580,1.900,backhand_manual_004_backhand_0.680_2.580_50fps.mp4,data/hitter_captures/20260902_mqy_capture/manual_clips_review/backhand/backhand_manual_004_backhand_0.680_2.580_50fps.mp4,95,50.000,,2026-09-03 16:12:39
5,backhand,backhand_02.mp4,data/hitter_captures/20260902_mqy_capture/raw_h264/backhand_02.mp4,2.580,4.500,1.920,backhand_manual_005_backhand_2.580_4.500_50fps.mp4,data/hitter_captures/20260902_mqy_capture/manual_clips_review/backhand/backhand_manual_005_backhand_2.580_4.500_50fps.mp4,96,50.000,,2026-09-03 16:13:31
6,backhand,backhand_02.mp4,data/hitter_captures/20260902_mqy_capture/raw_h264/backhand_02.mp4,4.550,6.650,2.100,backhand_manual_006_backhand_4.550_6.650_50fps.mp4,data/hitter_captures/20260902_mqy_capture/manual_clips_review/backhand/backhand_manual_006_backhand_4.550_6.650_50fps.mp4,105,50.000,,2026-09-03 16:14:20
7,backhand,backhand_03.mp4,data/hitter_captures/20260902_mqy_capture/raw_h264/backhand_03.mp4,0.500,2.450,1.950,backhand_manual_007_backhand_0.500_2.450_50fps.mp4,data/hitter_captures/20260902_mqy_capture/manual_clips_review/backhand/backhand_manual_007_backhand_0.500_2.450_50fps.mp4,98,50.000,,2026-09-03 16:15:14
8,backhand,backhand_03.mp4,data/hitter_captures/20260902_mqy_capture/raw_h264/backhand_03.mp4,2.455,4.500,2.045,backhand_manual_008_backhand_2.455_4.500_50fps.mp4,data/hitter_captures/20260902_mqy_capture/manual_clips_review/backhand/backhand_manual_008_backhand_2.455_4.500_50fps.mp4,103,50.000,,2026-09-03 16:15:34
9,backhand,backhand_03.mp4,data/hitter_captures/20260902_mqy_capture/raw_h264/backhand_03.mp4,4.550,6.600,2.050,backhand_manual_009_backhand_4.550_6.600_50fps.mp4,data/hitter_captures/20260902_mqy_capture/manual_clips_review/backhand/backhand_manual_009_backhand_4.550_6.600_50fps.mp4,103,50.000,,2026-09-03 16:16:30
10,backhand,forehand_01.mp4,data/hitter_captures/20260902_mqy_capture/raw_h264/forehand_01.mp4,1.100,3.100,2.000,backhand_manual_010_forehand_1.100_3.100_50fps.mp4,data/hitter_captures/20260902_mqy_capture/manual_clips_review/backhand/backhand_manual_010_forehand_1.100_3.100_50fps.mp4,100,50.000,,2026-09-03 16:20:38
